 61 4348.214748 6.009E-26 2.774E-02.04500.059 1779.02440.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F1202        18F2  2     134332333638 7 1 7   105.0  111.0
 61 4348.233071 3.251E-28 9.103E-04.04600.058 2182.40010.59-.008600    0 2 0 1 1F1    0 0 0 0 1A1   20F1177        20F2  3     133332453637 7 1 7   123.0  123.0
 61 4348.261747 6.385E-26 2.966E-02.04500.059 1780.31200.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F1203        18F2  4     234332333638 7 1 7   105.0  111.0
 61 4348.264598 1.005E-27 1.088E-03.04500.058 1976.65030.60-.008600    0 2 0 1 1F1    0 0 0 0 1A1   19F1170        19F2  4     134332453638 7 1 7   117.0  117.0
 61 4348.271228 7.290E-28 2.046E-03.04600.058 2182.91460.59-.008600    0 0 1 1 1F1    0 0 0 0 1A1   20F2181        20F1  4     133332453637 7 1 7   123.0  123.0
 61 4348.283703 7.089E-28 3.260E-04.04500.059 1778.20460.60-.008600    0 1 1 0 1F2    0 0 0 0 1A1   17F1200        18F2  1     134332453638 7 1 7   105.0  111.0
 61 4348.286346 5.025E-28 1.412E-03.04600.058 2183.09350.59-.008600    0 0 1 1 1F1    0 0 0 0 1A1   20F1178        20F2  4     133332453637 7 1 7   123.0  123.0
 61 4348.318161 7.361E-28 7.968E-04.04500.058 1976.57420.60-.008600    0 2 0 1 1F1    0 0 0 0 1A1   19F2167        19F1  4     134332453638 7 1 7   117.0  117.0
 61 4348.332788 1.300E-26 2.614E-04.04700.065 1095.61910.62-.008600    0 0 1 1 1F1    0 0 0 0 1A1   14F1124        14F2  2     334332453638 7 1 7    87.0   87.0
 61 4348.335364 5.669E-27 6.028E-05.04800.065  949.84290.62-.008600    0 0 1 1 1F1    0 0 0 0 1A1   13F1117        13F2  1     334332453638 7 1 7    81.0   81.0
 61 4348.354059 1.475E-25 3.345E-03.04700.063 1252.00200.62-.008600    0 1 0 2 1F2    0 0 0 0 1A1   16A2 27        15A1  1     134332453638 7 1 7   165.0  155.0
 61 4348.357248 2.521E-27 5.749E-02.04400.057 2623.67650.58-.008600    0 1 1 0 1F1    0 0 0 0 1A1   21F2263        22F1  2     333332453637 7 1 7   129.0  135.0
 61 4348.376831 4.692E-26 2.158E-02.04500.059 1778.20460.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F1201        18F2  1     334332453638 7 1 7   105.0  111.0
 61 4348.414060 5.892E-24 3.121E-02.04100.068  690.03960.64-.008600    0 0 1 1 1F1    0 0 0 0 1A1   11E  67        11E   2     334332453638 7 1 7    46.0   46.0
 61 4348.423470 3.224E-23 2.536E-02.06200.075  293.17850.70-.008600    0 0 1 1 1F1    0 0 0 0 1A1    7F2 66         7F1  2     334332453638 7 1 7    45.0   45.0
 61 4348.436015 5.004E-26 3.487E-02.03800.059 1780.26920.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17E 134        18E   3     234332333638 7 1 7    70.0   74.0
 61 4348.467726 4.676E-24 1.144E-02.05300.070  575.25960.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F2105        10F1  2     334332453638 7 1 7    57.0   63.0
 61 4348.471802 4.146E-26 1.826E-02.04500.059 1780.72900.60-.008600    1 0 0 1 1F2    0 0 0 0 1A1   18F1159        18F2  5     134332453638 7 1 7   111.0  111.0
 61 4348.479070 1.981E-23 1.558E-02.06200.075  293.12290.70-.008600    0 0 1 1 1F1    0 0 0 0 1A1    7F2 66         7F1  1     334332453638 7 1 7    45.0   45.0
 61 4348.504391 3.353E-23 1.845E-02.06500.079   62.87680.73-.008600    0 2 0 1 1F2    0 0 0 0 1A1    3F1 34         3F2  1     434332453638 7 1 7    21.0   21.0
 61 4348.515504 1.693E-26 1.579E-05.05600.074  376.82610.69-.008600    0 0 1 1 1F2    0 0 0 0 1A1    9F1 58         8F2  2     334332453638 7 1 7    57.0   51.0
 61 4348.521698 2.834E-25 1.316E-01.04500.059 1780.12230.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F2201        18F1  3     234332333638 7 1 7   105.0  111.0
 61 4348.525495 1.606E-26 1.825E-02.04500.058 1975.75900.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   18F1216        19F2  3     334332453638 7 1 7   111.0  117.0
 61 4348.542255 2.119E-28 3.451E-04.03800.058 1977.19730.60-.008600    0 2 0 1 1F2    0 0 0 0 1A1   19E 113        19E   3     134332453638 7 1 7    78.0   78.0
 61 4348.543226 3.759E-24 9.194E-03.05300.070  575.18410.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F2105        10F1  1     334332453638 7 1 7    57.0   63.0
 61 4348.546410 1.658E-28 4.442E-04.04600.058 2183.09350.59-.008600    0 1 0 2 1F2    0 0 0 0 1A1   21F1 96        20F2  4     133332453637 7 1 7   129.0  123.0
 61 4348.555904 5.199E-25 4.848E-04.05600.074  376.78570.69-.008600    0 0 1 1 1F2    0 0 0 0 1A1    9F1 58         8F2  1     334332453638 7 1 7    57.0   51.0
 61 4348.558734 1.582E-28 1.718E-04.04500.058 1977.17920.60-.008600    0 2 0 1 1F2    0 0 0 0 1A1   19F1171        19F2  5     134332453638 7 1 7   117.0  117.0
 61 4348.566283 1.100E-25 8.678E-01.04500.057 2395.47660.58-.008600    0 1 1 0 1F1    0 0 0 0 1A1   20F2250        21F1  1     333332453637 7 1 7   123.0  129.0
 61 4348.567560 9.006E-26 4.767E-04.04100.068  689.88610.64-.008600    0 0 1 1 1F1    0 0 0 0 1A1   11E  67        11E   1     334332453638 7 1 7    46.0   46.0
 61 4348.569825 2.845E-25 1.292E+00.04500.057 2396.79640.58-.008600    0 2 0 1 1F2    0 0 0 0 1A1   21A2 65        21A1  1     133332453637 7 1 7   215.0  215.0
 61 4348.572052 1.705E-25 1.291E+00.04500.057 2396.79370.58-.008600    0 2 0 1 1F2    0 0 0 0 1A1   21F2185        21F1  2     133332453637 7 1 7   129.0  129.0
 61 4348.573371 1.138E-25 1.292E+00.04500.057 2396.79220.58-.008600    0 2 0 1 1F2    0 0 0 0 1A1   21E 124        21E   1     133332453637 7 1 7    86.0   86.0
 61 4348.583772 2.102E-25 9.231E-02.04500.059 1780.12230.60-.008600    1 1 0 0 1E     0 0 0 0 1A1   18F2161        18F1  3     134332453638 7 1 7   111.0  111.0
 61 4348.589408 4.449E-26 2.064E-02.04500.059 1779.98440.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F1203        18F2  3     234332333638 7 1 7   105.0  111.0
 61 4348.596715 4.851E-28 2.010E-04.04500.059 1779.02440.60-.008600    0 1 0 2 1F2    0 0 0 0 1A1   19F1 90        18F2  2     134332453638 7 1 7   117.0  111.0
 61 4348.600479 1.772E-26 8.226E-03.04500.059 1780.12230.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F2202        18F1  3     234332333638 7 1 7   105.0  111.0
 61 4348.606029 5.375E-26 3.708E-02.03800.059 1778.20430.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17E 133        18E   1     334332453638 7 1 7    70.0   74.0
 61 4348.606435 1.927E-23 2.274E-02.05500.075  293.17000.70-.008600    0 0 1 1 1F1    0 0 0 0 1A1    7E  44         7E   1     434332453638 7 1 7    30.0   30.0
 61 4348.607195 1.124E-26 3.309E-02.04600.058 2182.40010.59-.008600    0 1 1 0 1F1    0 0 0 0 1A1   19F1236        20F2  3     133332333637 7 1 7   117.0  123.0
 61 4348.643272 4.108E-28 4.414E-04.04500.058 1975.01230.60-.008600    1 0 0 1 1F2    0 0 0 0 1A1   19F1169        19F2  2     134332453638 7 1 7   117.0  117.0
 61 4348.650461 5.106E-28 5.519E-04.04500.058 1976.24190.60-.008600    0 2 0 1 1F1    0 0 0 0 1A1   19F2167        19F1  3     134332453638 7 1 7   117.0  117.0
 61 4348.688970 2.914E-24 7.131E-03.05300.070  575.28520.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F1107        10F2  3     334332453638 7 1 7    57.0   63.0
 61 4348.700088 3.604E-28 7.235E-06.04700.065 1095.25180.62-.008600    0 0 1 1 1F1    0 0 0 0 1A1   14F1124        14F2  1     334332453638 7 1 7    87.0   87.0
 61 4348.715704 1.156E-28 5.834E-06.04700.061 1416.55330.61-.008600    1 0 0 1 1F2    0 0 0 0 1A1   16A2 47        16A1  1     334332453638 7 1 7   165.0  165.0
 61 4348.758979 7.569E-26 1.530E-04.05300.070  575.28520.64-.008600    0 1 0 2 1F2    0 0 0 0 1A1   11F1 66        10F2  3     234332333638 7 1 7    69.0   63.0
 61 4348.763704 2.279E-26 4.290E-03.04600.060 1594.38310.61-.008600    0 0 1 1 1F1    0 0 0 0 1A1   17F2150        17F1  5     334332453638 7 1 7   105.0  105.0
 61 4348.775181 2.108E-27 7.213E-02.04400.057 2623.68600.58-.008600    0 1 1 0 1F1    0 0 0 0 1A1   21E 176        22E   2     333332453637 7 1 7    86.0   90.0
 61 4348.783866 1.101E-27 3.075E-03.04600.058 2181.82080.59-.008600    0 2 0 1 1F2    0 0 0 0 1A1   20F1176        20F2  2     133332453637 7 1 7   123.0  123.0
 61 4348.790170 8.609E-24 3.160E-02.04100.070  575.27170.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9E  71        10E   2     134332453638 7 1 7    38.0   42.0
 61 4348.791258 1.258E-25 2.108E-01.04600.058 2181.85060.59-.008600    0 2 0 1 1F1    0 0 0 0 1A1   20A1 59        20A2  1     133332453637 7 1 7   205.0  205.0
 61 4348.798432 7.345E-27 4.828E-03.03800.059 1779.65110.60-.008600    1 0 0 1 1F2    0 0 0 0 1A1   18E 106        18E   2     134332453638 7 1 7    74.0   74.0
 61 4348.799962 1.017E-25 8.024E-01.04500.057 2395.47680.58-.008600    0 1 1 0 1F2    0 0 0 0 1A1   20F1248        21F2  1     333332453637 7 1 7   123.0  129.0
 61 4348.804270 5.913E-24 1.446E-02.05300.070  575.16990.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F1107        10F2  2     334332453638 7 1 7    57.0   63.0
 61 4348.812351 7.384E-26 2.062E-01.04600.058 2181.82080.59-.008600    0 2 0 1 1F1    0 0 0 0 1A1   20F1177        20F2  2     133332453637 7 1 7   123.0  123.0
 61 4348.820343 5.005E-26 2.097E-01.04600.058 2181.80760.59-.008600    0 2 0 1 1F1    0 0 0 0 1A1   20E 119        20E   2     133332453637 7 1 7    82.0   82.0
 61 4348.835719 7.641E-28 1.245E-03.03800.058 1977.19730.60-.008600    0 0 1 1 1F1    0 0 0 0 1A1   19E 114        19E   3     134332333638 7 1 7    78.0   78.0
 61 4348.860260 1.106E-23 2.707E-02.05300.070  575.28520.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F1108        10F2  3     334332453638 7 1 7    57.0   63.0
 61 4348.874319 2.823E-28 5.704E-07.05300.070  575.16990.64-.008600    0 1 0 2 1F2    0 0 0 0 1A1   11F1 66        10F2  2     234332333638 7 1 7    69.0   63.0
 61 4348.876828 3.119E-28 3.533E-04.04500.058 1975.01230.60-.008600    0 1 1 0 1F2    0 0 0 0 1A1   18F1215        19F2  2     334332453638 7 1 7   111.0  117.0
