 61 6045.740120 2.000E-25 1.655E-04.06450.079   62.87680.73-.012100                   0 0 0 0 1A1    4F1135         3F2  1     335332584848 7 1 7    27.0   21.0
 61 6045.741000 1.465E-24 0.000E+00.06170.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6045.777940 2.000E-25 0.000E+00.05750.080   62.87580.85-.012100                   0 0 0 0 1A1                   3F1  1     3333325848481110 7     0.0    0.0
 61 6045.799670 1.003E-24 0.000E+00.05460.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6045.861360 6.690E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6045.936690 5.406E-25 0.000E+00.05880.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6046.143850 5.033E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6046.285470 8.434E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6046.551000 3.453E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6046.625000 2.163E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6046.729730 5.292E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6046.777850 1.115E-24 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6046.942520 7.877E-22 6.520E-01.06510.079   62.87580.73-.012100                   0 0 0 0 1A1    4F2142         3F1  1     335332584848 7 1 7    27.0   21.0
 61 6046.951620 9.277E-22 7.678E-01.07740.079   62.87680.73-.012100                   0 0 0 0 1A1    4F1136         3F2  1     335332584848 7 1 7    27.0   21.0
 61 6046.963576 1.455E-21 7.226E-01.05780.079   62.87820.73-.012100    0 0 2 0  F2    0 0 0 0 1A1    4A1 51         3A2  1     433332484848 7 1 7    45.0   35.0
 61 6047.275000 5.903E-25 0.000E+00.05460.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6047.341060 6.516E-25 0.000E+00.05460.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6047.872410 2.723E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6047.999320 4.446E-25 0.000E+00.05460.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6048.017000 8.061E-25 0.000E+00.05460.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6048.182080 3.402E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6048.380720 8.531E-25 0.000E+00.06310.076  293.15420.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6048.440000 5.746E-25 0.000E+00.05990.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6048.460000 3.895E-25 0.000E+00.05990.077  815.00000.85-.012100                                                            3353325848481110 7     0.0    0.0
 61 6048.555560 2.082E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6048.971000 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6049.067200 2.094E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6049.469700 4.337E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6049.568160 2.341E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6049.641610 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6049.664210 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6049.773550 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6049.883210 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6050.053000 5.193E-25 0.000E+00.04750.065  950.15390.63-.012100                   0 0 0 0 1A1                  13A1  1     335332584848 7 1 7     0.0    0.0
 61 6050.064330 6.418E-25 0.000E+00.04750.065  950.15390.63-.012100                   0 0 0 0 1A1                  13A1  1     335332584848 7 1 7     0.0    0.0
 61 6050.184000 5.158E-25 0.000E+00.06440.078  219.94130.85-.012100                   0 0 0 0 1A1                   6F1  1     3333325848481110 7     0.0    0.0
 61 6050.482170 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6050.653470 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6050.827620 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6050.858000 4.156E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6051.232970 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6051.283780 2.000E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6051.318700 1.065E-24 0.000E+00.06310.076  293.17870.85-.012100                   0 0 0 0 1A1                   7F1  2     3333325848481110 7     0.0    0.0
 61 6051.418780 1.539E-24 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6051.441000 4.636E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6051.590350 3.708E-25 0.000E+00.06000.077  815.00000.85-.012100                                                            3333325848421110 7     0.0    0.0
 61 6051.617910 3.684E-24 2.359E-03.06270.077  219.94520.70-.012100                   0 0 0 0 1A1    7A2 79         6A1  1     335332584848 7 1 7    75.0   65.0
 61 6051.644290 5.235E-25 0.000E+00.06130.075  376.73040.85-.012100                                                            3333325848421110 7     0.0    0.0
