 61 7195.606600 3.653E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.645800 2.508E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.661500 2.654E-23 0.000E+00.06570.079   66.27000.73-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7195.683800 1.348E-24 0.000E+00.06340.077  134.29000.72-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7195.704500 1.594E-24 0.000E+00.05980.075  311.71000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7195.732400 2.216E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.759800 1.562E-24 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.785700 4.256E-26 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.818700 7.844E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.838600 3.164E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.879600 4.701E-24 0.000E+00.05980.075  276.66000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7195.957000 3.386E-24 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7195.984700 1.006E-23 0.000E+00.06340.077  177.79000.72-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.023800 3.453E-24 0.000E+00.05760.074  396.63000.69-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.059200 5.836E-24 0.000E+00.06140.078  219.39000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.107700 8.673E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.132000 7.076E-25 0.000E+00.05980.075  286.56000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.152800 9.870E-25 0.000E+00.05760.074  345.56000.69-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.169900 3.574E-25 0.000E+00.05980.075  273.06000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.195700 1.121E-23 0.000E+00.05980.075  294.28000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.226800 2.524E-24 0.000E+00.05980.075  297.77000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.254800 1.237E-23 0.000E+00.05980.075  297.47000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.309000 1.678E-24 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.332400 5.843E-25 0.000E+00.05760.074  356.13000.69-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.363500 7.602E-25 0.000E+00.06140.078  216.48000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.390600 3.257E-24 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.433400 2.433E-26 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.467000 4.139E-24 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.519800 3.051E-25 0.000E+00.05980.075  287.86000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.541700 3.873E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.557700 5.817E-25 0.000E+00.05980.075  290.75000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.581300 1.095E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.616100 1.264E-23 0.000E+00.05980.075  278.00000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.641400 3.207E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.662400 7.652E-25 0.000E+00.05980.075  261.92000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.684400 5.192E-24 0.000E+00.05500.073  473.97000.65-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.712500 4.333E-24 0.000E+00.05500.073  496.97000.65-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.835000 1.094E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.852600 6.763E-26 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
